N_POINTS	N_THREADS	TIME	ABORTS
1000	1	0.860755	0
1000	1	0.816490	0
1000	1	0.815636	0
1000	1	0.819188	0
1000	1	0.820524	0
1000	1	0.819993	0
1000	1	0.816456	0
1000	1	0.844498	0
1000	1	0.819259	0
1000	1	0.818431	0
1000	2	0.531647	39
1000	2	0.490148	39
1000	2	0.451109	39
1000	2	0.437084	31
1000	2	0.505278	40
1000	2	0.503357	41
1000	2	0.495037	34
1000	2	0.507305	41
1000	2	0.441670	31
1000	2	0.499369	36
1000	4	0.348468	116
1000	4	0.326312	95
1000	4	0.327732	99
1000	4	0.317281	96
1000	4	0.313205	90
1000	4	0.326836	97
1000	4	0.323524	110
1000	4	0.312847	89
1000	4	0.307754	95
1000	4	0.335654	104
1000	8	0.226128	199
1000	8	0.221047	198
1000	8	0.220351	211
1000	8	0.235666	214
1000	8	0.233782	207
1000	8	0.228609	199
1000	8	0.226962	243
1000	8	0.230739	193
1000	8	0.224655	194
1000	8	0.237381	223
1000	10	0.223645	270
1000	10	0.216721	255
1000	10	0.219914	285
1000	10	0.209966	250
1000	10	0.219697	258
1000	10	0.207181	259
1000	10	0.226943	268
1000	10	0.212615	261
1000	10	0.222865	270
1000	10	0.218015	296
1000	12	0.204339	326
1000	12	0.198698	300
1000	12	0.195764	300
1000	12	0.192142	328
1000	12	0.198400	307
1000	12	0.198965	352
1000	12	0.199551	319
1000	12	0.203205	331
1000	12	0.206597	329
1000	12	0.214492	360
1000	14	0.198045	371
1000	14	0.194127	377
1000	14	0.190800	365
1000	14	0.199357	383
1000	14	0.183638	380
1000	14	0.191760	370
1000	14	0.188110	361
1000	14	0.188957	391
1000	14	0.194215	435
1000	14	0.176475	347
1000	16	0.170908	399
1000	16	0.173127	405
1000	16	0.179971	424
1000	16	0.172369	399
1000	16	0.171255	390
1000	16	0.179062	419
1000	16	0.176645	395
1000	16	0.178564	406
1000	16	0.172486	363
1000	16	0.163105	352
1000	18	0.158899	407
1000	18	0.175749	491
1000	18	0.171737	482
1000	18	0.190736	504
1000	18	0.165506	446
1000	18	0.175482	437
1000	18	0.168787	446
1000	18	0.166770	450
1000	18	0.161030	409
1000	18	0.157609	432
1000	20	0.160553	455
1000	20	0.161772	487
1000	20	0.177963	546
1000	20	0.160870	479
1000	20	0.167065	511
1000	20	0.176689	529
1000	20	0.158980	471
1000	20	0.158548	472
1000	20	0.162584	500
1000	20	0.156828	460
1000	22	0.157522	487
1000	22	0.172991	570
1000	22	0.159111	496
1000	22	0.165885	528
1000	22	0.173874	570
1000	22	0.171723	593
1000	22	0.167313	534
1000	22	0.162514	515
1000	22	0.161976	555
1000	22	0.164377	509
1000	24	0.163551	581
1000	24	0.169455	585
1000	24	0.164048	531
1000	24	0.173646	610
1000	24	0.164627	570
1000	24	0.160660	534
1000	24	0.166687	553
1000	24	0.180734	637
1000	24	0.165603	574
1000	24	0.168625	597
1000	26	0.160914	564
1000	26	0.161585	587
1000	26	0.172464	638
1000	26	0.173944	622
1000	26	0.163451	575
1000	26	0.160457	569
1000	26	0.166076	635
1000	26	0.161541	567
1000	26	0.177637	636
1000	26	0.171714	616
1000	28	0.166898	624
1000	28	0.164064	640
1000	28	0.175233	692
1000	28	0.163464	627
1000	28	0.162022	617
1000	28	0.174077	668
1000	28	0.169257	638
1000	28	0.167641	651
1000	28	0.169337	669
1000	28	0.169322	649
1000	30	0.164456	673
1000	30	0.168529	681
1000	30	0.163772	648
1000	30	0.167982	651
1000	30	0.179496	771
1000	30	0.177907	715
1000	30	0.165716	675
1000	30	0.168894	675
1000	30	0.170160	693
1000	30	0.173570	699
1000	32	0.169877	727
1000	32	0.176209	743
1000	32	0.171663	748
1000	32	0.176775	735
1000	32	0.173981	704
1000	32	0.177710	744
1000	32	0.164842	712
1000	32	0.170286	674
1000	32	0.177296	764
1000	32	0.172105	747
1000	34	0.164816	689
1000	34	0.162393	725
1000	34	0.167455	715
1000	34	0.161368	665
1000	34	0.169489	712
1000	34	0.176655	774
1000	34	0.175611	823
1000	34	0.183035	810
1000	34	0.183432	846
1000	34	0.166978	736
1000	36	0.170330	794
1000	36	0.176304	839
1000	36	0.178724	829
1000	36	0.173422	762
1000	36	0.170904	793
1000	36	0.179125	844
1000	36	0.179894	795
1000	36	0.181464	878
1000	36	0.169653	794
1000	36	0.163336	762
1000	38	0.171016	823
1000	38	0.195682	935
1000	38	0.163616	796
1000	38	0.176810	868
1000	38	0.171245	795
1000	38	0.184907	973
1000	38	0.180441	869
1000	38	0.172375	799
1000	38	0.171986	844
1000	38	0.172280	828
1000	40	0.176143	883
1000	40	0.188294	950
1000	40	0.176254	890
1000	40	0.170315	815
1000	40	0.168646	845
1000	40	0.175125	878
1000	40	0.182232	894
1000	40	0.186506	896
1000	40	0.186734	946
1000	40	0.178108	895
