N_POINTS	N_THREADS	TIME	ENERGY
200000	64	0.940693	84.507019
200000	64	0.919322	82.724548
200000	64	0.918266	82.824036
100000000	64	2199.92	198279.008301
100000000	64	2191.88	-64509.823486
100000000	64	2152.63	-67662.534180
200000000	64	2517.2	-19518.873352
200000000	64	2531.15	-17317.806396
200000000	64	2548.03	-16192.435730
300000000	64	2264.45	-35725.078308
300000000	64	2204.31	-41002.675598
300000000	64	2215.95	-39935.813965
400000000	64	4616.29	-81690.757935
400000000	64	4829.19	-63216.705078
400000000	64	4829.19	-63216.705078
500000000	64	9883.87	134789.147644
500000000	64	8380.67	2815.033020
500000000	64	8336.55	-1188.585938
