N_POINTS	N_THREADS	TIME	ENERGY
200000	4	0.19286	15.606567
200000	4	0.203014	16.142883
200000	4	0.202833	16.131104
100000000	4	250.956	25836.660706
100000000	4	243.009	25289.378357
100000000	4	252.317	21799.133484
200000000	4	390.654	-217566.250488
200000000	4	402.715	45230.523193
200000000	4	392.223	44579.048584
300000000	4	442.71	-209381.819702
300000000	4	440.797	52596.498291
300000000	4	475.39	-193198.183228
400000000	4	1018.36	-158240.427612
400000000	4	990.865	-160029.231079
400000000	4	1033.96	104676.966492
500000000	4	1461.12	141641.531189
500000000	4	1471.3	142054.822205
500000000	4	1544.66	146531.371765
