N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	61	3.29027e+07
10	200	1	63	3.37647e+07
10	200	1	52	2.89546e+07
10	200	1	61	3.29582e+07
10	200	1	81	2.97171e+07
10	200	500	1065	3.97809e+07
10	200	500	549	4.07411e+07
10	200	500	501	3.83228e+07
10	200	500	466	3.96524e+07
10	200	500	486	3.88575e+07
10	200	1000	717	4.47023e+07
10	200	1000	744	4.03937e+07
10	200	1000	692	4.12525e+07
10	200	1000	728	4.07846e+07
10	200	1000	1508	4.04566e+07
10	200	1500	950	3.90063e+07
10	200	1500	1102	4.07232e+07
10	200	1500	996	4.12545e+07
10	200	1500	1002	4.09823e+07
10	200	1500	1036	4.09323e+07
10	200	2000	1519	3.97456e+07
10	200	2000	1384	4.05434e+07
10	200	2000	1513	4.16661e+07
10	200	2000	1368	3.99254e+07
10	200	2000	1476	4.00035e+07
10	200	2500	1776	4.081e+07
10	200	2500	1889	4.11618e+07
10	200	2500	1676	4.36711e+07
10	200	2500	1766	4.13118e+07
10	200	2500	1827	3.97131e+07
