N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	6847	2.69159e+07
10	200	1	6871	2.88005e+07
10	200	1	6832	3.0529e+07
10	200	1	6828	3.30576e+07
10	200	1	6856	3.03628e+07
10	200	500	213955	3.97219e+07
10	200	500	209033	3.86463e+07
10	200	500	182518	3.68945e+07
10	200	500	173230	3.90051e+07
10	200	500	177532	3.90527e+07
10	200	1000	331496	5.41061e+07
10	200	1000	335346	4.12119e+07
10	200	1000	346844	4.05586e+07
10	200	1000	350526	4.00351e+07
10	200	1000	339550	3.95816e+07
10	200	1500	520450	3.989e+07
10	200	1500	517616	4.01726e+07
10	200	1500	516502	4.05567e+07
10	200	1500	502157	4.01762e+07
10	200	1500	519987	3.98242e+07
10	200	2000	699998	4.10921e+07
10	200	2000	665750	4.13145e+07
10	200	2000	672827	4.12307e+07
10	200	2000	700253	3.99366e+07
10	200	2000	669014	4.06535e+07
