N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	774	1.26187e+06
10	200	1	790	1.35453e+06
10	200	1	783	1.24035e+06
10	200	1	785	1.47987e+06
10	200	1	770	1.24076e+06
10	200	500	15267	1.64848e+06
10	200	500	25664	1.72242e+06
10	200	500	15647	1.65838e+06
10	200	500	24687	1.74019e+06
10	200	500	24078	1.69068e+06
10	200	1000	25513	1.73794e+06
10	200	1000	26193	1.68352e+06
10	200	1000	25781	1.6806e+06
10	200	1000	37596	1.76353e+06
10	200	1000	27924	1.64646e+06
10	200	1500	50975	1.87788e+06
10	200	1500	36850	1.73223e+06
10	200	1500	45017	1.71061e+06
10	200	1500	38378	1.71056e+06
10	200	1500	48280	1.74697e+06
10	200	2000	28713	1.73916e+06
10	200	2000	101149	1.7977e+06
10	200	2000	22829	1.78196e+06
10	200	2000	62369	1.80751e+06
10	200	2000	28618	1.7394e+06
