N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	59	167208
10	200	1	48	181427
10	200	1	55	169644
10	200	1	57	140036
10	200	1	54	186030
10	200	500	558	203664
10	200	500	558	209581
10	200	500	611	216633
10	200	500	603	207045
10	200	500	612	199784
10	200	1000	906	214853
10	200	1000	854	205960
10	200	1000	860	216274
10	200	1000	887	223152
10	200	1000	883	213788
10	200	1500	1231	216831
10	200	1500	1023	208979
10	200	1500	1093	219216
10	200	1500	1149	220929
10	200	1500	1009	209798
10	200	2000	1429	221076
10	200	2000	1527	217596
10	200	2000	1667	217839
10	200	2000	1695	217536
10	200	2000	1483	223373
10	200	2500	1552	220331
10	200	2500	1652	212779
10	200	2500	1629	215850
10	200	2500	1725	225057
10	200	2500	1734	225624
