N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	342	157107
10	200	1	337	145450
10	200	1	335	155552
10	200	1	323	147540
10	200	1	332	143062
10	200	500	2575	197658
10	200	500	2991	226555
10	200	500	3006	198089
10	200	500	3318	206883
10	200	500	3000	203752
10	200	1000	4422	210920
10	200	1000	5208	220077
10	200	1000	3966	214931
10	200	1000	5078	210088
10	200	1000	4111	205814
10	200	1500	6710	220530
10	200	1500	6944	221388
10	200	1500	6699	220996
10	200	1500	5487	216200
10	200	1500	6538	211954
10	200	2000	7532	218684
10	200	2000	7454	227247
10	200	2000	8795	216060
10	200	2000	9103	220928
10	200	2000	7647	222810
