N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	105	3.82606e+07
10	200	1	114	4.36384e+07
10	200	1	116	4.01219e+07
10	200	1	113	3.82531e+07
10	200	1	116	3.79502e+07
10	200	500	816	5.73927e+07
10	200	500	765	6.09318e+07
10	200	500	773	5.68691e+07
10	200	500	808	5.53179e+07
10	200	500	729	5.96567e+07
10	200	1000	1124	5.51004e+07
10	200	1000	1211	5.46393e+07
10	200	1000	1235	5.72199e+07
10	200	1000	1107	5.6695e+07
10	200	1000	1105	5.5606e+07
10	200	1500	1394	5.71065e+07
10	200	1500	1284	5.57655e+07
10	200	1500	1397	5.57308e+07
10	200	1500	1453	5.96232e+07
10	200	1500	1397	5.70868e+07
10	200	2000	1895	5.9798e+07
10	200	2000	1807	5.75377e+07
10	200	2000	1915	5.52447e+07
10	200	2000	1784	5.7369e+07
10	200	2000	1699	5.38765e+07
10	200	2500	2408	6.03685e+07
10	200	2500	2382	5.64822e+07
10	200	2500	2312	5.71223e+07
10	200	2500	2267	5.522e+07
10	200	2500	2239	5.80663e+07
